city	spelling	n_records	kima_id	kima_name_rom	wikidata_qid	qid_source	wikidata_direct	decision	grade	confidence	decided_by	note	date
St. Hashomer	St. Hashomer	1						unmatched-ambiguous	C_review		agent		2026-08-06
Staerneck	Staerneck	1						unmatched-junk	C_review		agent		2026-08-06
Tel Chai	Tel Chai	1	16154	Tel Hai (Israel)	Q2094886	kima-dump	Q2094886	matched	C_review		agent	Tel Hai	2026-08-06
Tel Joseph	Tel Joseph	1	186	Tel-Yosef (Israel)	Q2917286	kima-dump		matched	C_review		agent		2026-08-06
Tel Mond	Tel Mond	1	21757	Tel Mond (Israel)	Q2304754	kima-dump	Q2304754	matched	A_autolink	0.95	auto		2026-08-06
Tel Yousef	Tel Yousef	1	186	Tel-Yosef (Israel)	Q2917286	kima-dump		matched	C_review		agent		2026-08-06
Tel-Yusef	Tel-Yusef	1	186	Tel-Yosef (Israel)	Q2917286	kima-dump		matched	C_review		agent		2026-08-06
Tell Addashume	Tell Addashume	1	280	Tel Adashim (Israel)	Q2916649	kima-dump		matched	C_review		agent	Tel Adashim	2026-08-06
Tiberias (Kibbutz Afikim?)	Tiberias (Kibbutz Afikim?)	1						unmatched-ambiguous	C_review		agent	editor's guess in source	2026-08-06
Tiberias / Kinneret	Tiberias / Kinneret	1						unmatched-ambiguous	C_review		agent		2026-08-06
Tiberias S/D	Tiberias S/D	1						unmatched-ambiguous	C_review		agent		2026-08-06
Tiberias|P. & P. Tiberias	Tiberias|P. & P. Tiberias	1	807	Tiberias (Israel)	Q151920	kima-dump	Q151920	matched	C_review		agent		2026-08-06
Tiberias|Tiberia	Tiberias|Tiberia	1	807	Tiberias (Israel)	Q151920	kima-dump	Q151920	matched	C_review		agent		2026-08-06
Tira	Tira	1	756	Tirat Karmel (Israel)	Q168215	kima-dump	Q167594	matched	C_review		human	user ruling: Tira/Tireh in this dataset = al-Tira (Tirat Karmel); held for human review: QID conflict - kima-dump Q168215 vs direct Wikidata Q167594	2026-08-06
Tirat Carmel / Haifa	Tirat Carmel / Haifa	1	756	Tirat Karmel (Israel)	Q168215	kima-dump		matched	outside-queue		human		2026-08-06
Tirat Zvi	Tirat Zvi	1	757	Tirat Tsvi (Israel)	Q550025	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Tirat Zvi	Tirat Zvi	1	757	Tirat Tsvi (Israel)	Q550025	kima-dump		matched	outside-queue		agent	kibbutz Tirat Zvi, Bet Shean valley - not al-Tira	2026-08-06
Tirch	Tirch	1					Q43	unmatched-ambiguous	C_review		agent		2026-08-06
Tireh Village	Tireh Village	1	756	Tirat Karmel (Israel)	Q168215	kima-dump		matched	outside-queue		human		2026-08-06
Tireh, Haifa	Tireh, Haifa	1	756	Tirat Karmel (Israel)	Q168215	kima-dump		matched	outside-queue		human		2026-08-06
Tireh-Haifa	Tireh-Haifa	1	756	Tirat Karmel (Israel)	Q168215	kima-dump		matched	outside-queue		human		2026-08-06
Tireh-Hayark	Tireh-Hayark	1	756	Tirat Karmel (Israel)	Q168215	kima-dump		matched	outside-queue		human	garbled suffix	2026-08-06
Tireh/Athlit	Tireh/Athlit	1						unmatched-ambiguous	outside-queue		agent	alternation across two different places	2026-08-06
Tires	Tires	1	756	Tirat Karmel (Israel)	Q168215	kima-dump	Q25374396	matched	outside-queue		human	garbled Tireh; held for human review: QID conflict - kima-dump Q168215 vs direct Wikidata Q25374396	2026-08-06
Tires|Tireh	Tires|Tireh	1	756	Tirat Karmel (Israel)	Q168215	kima-dump	Q25374396	matched	outside-queue		human		2026-08-06
Turaan	Turaan	1						unmatched-no-kima-entry	C_review		agent	Tur'an village absent from Kima	2026-08-06
Vilhelma	Vilhelma	1	26771	Wilhelma (Israel)	Q2906526	kima-dump		matched	C_review		agent	Wilhelma Templer colony	2026-08-06
W. el Nisnass	W. el Nisnass	1	85346	Wadi Nisnas (Haifa, Israel)	Q2920415	wikidata-reconciled		matched	C_review		agent	Wadi Nisnas	2026-08-06
Wadi Kavara	Wadi Kavara	1						unmatched-no-kima-entry	C_review		agent	Kabara marshes	2026-08-06
Wadi Nisnas	Wadi Nisnas	1	85346	Wadi Nisnas (Haifa, Israel)	Q2920415	wikidata-reconciled	Q2920415	matched	C_review		agent		2026-08-06
Yavne'el / Tiberias	Yavne'el / Tiberias	1						unmatched-ambiguous	C_review		agent		2026-08-06
Yavneel	Yavneel	1	18477	Yavne'el (Israel)	Q1676894	kima-dump	Q1676894	matched	A_autolink	0.95	auto		2026-08-06
Yavneel Colony	Yavneel Colony	1	18477	Yavne'el (Israel)	Q1676894	kima-dump		matched	C_review		agent		2026-08-06
Yavniel Colony	Yavniel Colony	1	18477	Yavne'el (Israel)	Q1676894	kima-dump		matched	C_review		agent		2026-08-06
Zamarin	Zamarin	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump	Q108785495	matched	A_autolink	0.95	auto	held for human review: QID conflict - kima-dump Q198399 vs direct Wikidata Q108785495	2026-08-06
Zeeb	Zeeb	1						unmatched-no-kima-entry	C_review		agent	al-Zib; only Tel Akhziv site in Kima	2026-08-06
Zekra Yacov	Zekra Yacov	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent	garbled Zichron Yaakov	2026-08-06
Zichron	Zichron	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump	Q198399	matched	A_autolink	0.95	auto		2026-08-06
Zichron Yaacob	Zichron Yaacob	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
Zichron Yaacov	Zichron Yaacov	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Zichron Yaakov|Bat shlomo - Zichron Jacob	Zichron Yaakov|Bat shlomo - Zichron Jacob	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump	Q198399	matched	C_review		agent	first reading	2026-08-06
Zichron Yacov	Zichron Yacov	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
Zichron Yakov|Zichron Yaakov	Zichron Yakov|Zichron Yaakov	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
Zicron	Zicron	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
Zikhron Yaacov	Zikhron Yaacov	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Zikhron Yacob	Zikhron Yacob	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
Zikron Yaacov	Zikron Yaacov	1	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
